version,symbol,t0,aggregate,listing_days,c1,c2,c3,h1_match,r4h,r1d,peak_pct,draw_pct,end_pct,win
v0.1.12,ESPUSDT,2026-04-24T14:53:41.176544,⚪ 信号冲突-观望,72,True,False,True,False,2.25,0.5,17.22,-0.2,7.42,True
v0.1.12,MOVRUSDT,2026-04-24T14:58:56.715191,⚪ 信号冲突-观望,849,False,False,True,False,8.97,2.08,6.71,-18.26,-14.9,True
v0.1.12,BSBUSDT,2026-04-24T15:14:42.479170,⚪ 信号冲突-观望,29,False,False,True,False,0.69,0.18,78.57,-6.74,10.3,True
v0.1.12,SKRUSDT,2026-04-24T15:14:42.479170,🟢 弱做多,91,True,True,True,True,5.58,3.53,45.5,-0.12,27.14,True
v0.1.12,INXUSDT,2026-04-24T15:35:45.823481,⚪ 信号冲突-观望,83,True,True,True,True,3.05,1.33,29.93,-0.88,4.54,True
v0.1.12,SKRUSDT,2026-04-24T16:38:28.682207,🟢 弱做多,91,False,True,True,False,3.69,4.78,41.8,-0.47,15.09,True
v0.1.12,INXUSDT,2026-04-24T16:38:28.682207,⚪ 信号冲突-观望,83,True,True,True,True,2.12,1.84,29.2,-0.46,3.64,True
v0.1.12,KATUSDT,2026-04-24T16:48:56.783223,⚪ 信号冲突-观望,53,False,True,True,False,131.03,2.32,113.72,-2.72,61.21,True
v0.1.12,INXUSDT,2026-04-24T18:38:14.231004,⚪ 信号冲突-观望,83,False,True,True,False,1491.42,2.87,23.44,-3.69,-1.02,True
v0.1.12,SPORTFUNUSDT,2026-04-24T18:59:03.020812,⚪ 信号冲突-观望,97,True,False,True,False,1.13,0.19,32.78,-0.98,27.25,True
v0.1.12,ZKJUSDT,2026-04-24T20:01:36.676177,⚪ 信号冲突-观望,346,False,False,True,False,0.08,0.04,31.73,-3.59,2.06,True
v0.1.12,PUMPBTCUSDT,2026-04-24T21:24:56.941145,⚪ 信号冲突-观望,315,True,False,True,False,2.14,0.32,56.15,-10.96,14.2,True
v0.1.12,INTCUSDT,2026-04-24T21:24:56.941145,⚪ 信号冲突-观望,80,False,False,True,False,4.58,0.26,7.45,-1.84,1.93,True
v0.1.12,ZAMAUSDT,2026-04-24T21:40:42.701115,⚪ 信号冲突-观望,105,False,False,True,False,0.75,0.6,19.14,-0.41,7.9,True
v0.1.12,TREEUSDT,2026-04-24T22:01:40.340741,⚪ 信号冲突-观望,269,True,True,True,True,3.14,2.51,21.75,-3.26,-0.5,True
v0.1.12,DUSDT,2026-04-24T22:33:04.467542,⚪ 信号冲突-观望,470,True,True,True,True,2.89,1.6,43.42,-1.1,27.14,True
v0.1.12,TREEUSDT,2026-04-24T23:04:30.563344,🟢 短中期做多,269,False,True,True,False,5.72,2.51,23.12,-0.23,0.62,True
v0.1.12,APEUSDT,2026-04-24T23:14:58.867953,⚪ 信号冲突-观望,1499,True,True,True,True,2.68,1.74,153.38,-1.28,65.33,True
v0.1.12,FLUXUSDT,2026-04-25T00:01:59.384394,⚪ 信号冲突-观望,598,True,False,True,False,0.47,0.61,12.21,-1.27,7.47,True
v0.1.12,TREEUSDT,2026-04-25T00:17:36.262142,🟢 弱做多,269,False,True,True,False,11.22,3.98,21.15,-1.83,-0.99,True
v0.1.12,AEVOUSDT,2026-04-25T00:33:14.147244,⚪ 信号冲突-观望,772,True,False,True,False,2.4,0.3,29.48,-0.68,2.88,True
v0.1.12,LUNA2USDT,2026-04-25T00:43:43.024144,🟢 弱做多,1323,False,False,True,False,3.73,0.51,5.53,-2.8,-0.67,True
v0.1.12,DYMUSDT,2026-04-25T01:30:41.676064,🟢 弱做多,807,True,True,True,True,2.16,2.76,14.38,-0.5,13.66,True
v0.1.12,TRUMPUSDT,2026-04-25T01:51:30.153437,⚪ 信号冲突-观望,461,True,True,True,True,2.86,2.83,9.57,-0.88,0.6,True
v0.1.12,PUMPBTCUSDT,2026-04-25T02:33:05.368584,⚪ 信号冲突-观望,315,False,True,True,False,2.3,3.86,38.87,-4.12,1.56,True
v0.1.12,API3USDT,2026-04-25T05:04:00.086696,⚪ 信号冲突-观望,1523,True,False,True,False,2.77,1.25,44.88,-0.55,38.85,True
v0.1.12,APEUSDT,2026-04-25T05:30:02.337240,⚪ 信号冲突-观望,1499,False,False,True,False,0.44,0.75,146.63,-1.6,60.92,True
v0.1.12,KATUSDT,2026-04-25T06:37:43.445438,⚪ 信号冲突-观望,53,False,False,True,False,1.58,0.92,38.56,-9.12,4.56,True
v0.1.12,API3USDT,2026-04-25T07:19:20.425687,⚪ 信号冲突-观望,1523,True,True,True,True,2.12,1.75,44.93,-0.13,38.9,True
v0.1.12,TRADOORUSDT,2026-04-25T07:29:48.466748,⚪ 信号冲突-观望,217,False,True,True,False,2.77,2.61,11.49,-90.96,-89.96,True
