mode,tp1,frac,trail,act,E,med,win%,worst,best,total,stop,trail_n,tp1_n,end
tp1_trail,0.05,0.5,0.15,0.0,7.48,5.33,100.0,1.25,18.47,142.13,0,18,0,1
pure_trail,0.0,0.0,0.05,0.15,7.27,6.94,100.0,1.86,11.87,138.12,0,18,0,1
tp1_trail,0.15,0.3,0.05,0.0,7.25,7.11,100.0,1.86,10.56,137.74,0,18,0,1
tp1_trail,0.1,0.7,0.15,0.0,7.24,5.95,100.0,1.86,13.83,137.5,0,17,0,2
tp1_trail,0.15,0.5,0.05,0.0,7.24,7.22,100.0,1.86,9.69,137.49,0,18,0,1
tp1_trail,0.15,0.7,0.05,0.0,7.22,7.33,100.0,1.86,8.81,137.24,0,18,0,1
tp1_only,0.15,1.0,0.0,0.0,7.2,7.5,100.0,1.86,7.5,136.86,0,0,18,1
tp1_trail,0.08,0.3,0.1,0.0,7.18,6.9,100.0,1.2,19.37,136.42,0,19,0,0
tp1_only,0.08,0.7,0.0,0.0,7.0,7.37,100.0,2.85,13.68,132.91,0,0,0,19
pure_trail,0.0,0.0,0.07,0.15,6.99,6.6,100.0,1.86,10.57,132.89,0,18,0,1
tp1_trail,0.1,0.5,0.1,0.0,6.74,6.57,100.0,1.86,15.48,128.02,0,18,0,1
tp1_trail,0.08,0.7,0.15,0.0,6.62,5.25,100.0,2.8,13.13,125.84,0,18,0,1
tp1_trail,0.05,0.3,0.1,0.0,6.41,6.01,100.0,0.75,18.92,121.84,0,19,0,0
tp1_trail,0.08,0.5,0.1,0.0,6.27,6.07,100.0,2.0,14.98,119.16,0,19,0,0
tp1_trail,0.1,0.7,0.1,0.0,5.98,5.94,100.0,1.86,11.29,113.55,0,18,0,1
tp1_only,0.05,0.7,0.0,0.0,5.95,6.32,100.0,1.8,12.63,112.96,0,0,0,19
pure_trail,0.0,0.0,0.07,0.1,5.87,5.77,100.0,1.69,10.42,111.6,0,18,0,1
pure_trail,0.0,0.0,0.07,0.05,5.68,5.77,95.0,0.0,10.42,107.87,0,19,0,0
tp1_trail,0.05,0.7,0.15,0.0,5.49,4.2,100.0,1.75,12.08,104.28,0,18,0,1
tp1_trail,0.08,0.7,0.1,0.0,5.36,5.24,100.0,2.8,10.59,101.9,0,19,0,0
tp1_trail,0.05,0.5,0.1,0.0,5.29,5.01,100.0,1.25,14.23,100.6,0,19,0,0
tp1_only,0.1,1.0,0.0,0.0,4.83,5.0,100.0,1.86,5.0,91.86,0,0,18,1
tp1_trail,0.1,0.7,0.05,0.0,4.77,4.69,100.0,1.86,5.84,90.69,0,18,0,1
tp1_trail,0.1,0.5,0.05,0.0,4.73,4.48,100.0,1.86,6.41,89.92,0,18,0,1
tp1_trail,0.1,0.3,0.05,0.0,4.69,4.27,100.0,1.86,6.97,89.14,0,18,0,1
pure_trail,0.0,0.0,0.05,0.1,4.63,3.96,100.0,1.86,7.81,87.98,0,18,0,1
tp1_trail,0.08,0.3,0.05,0.0,4.45,3.97,100.0,2.63,6.67,84.52,0,19,0,0
tp1_trail,0.08,0.5,0.05,0.0,4.32,3.98,100.0,3.02,5.91,82.08,0,19,0,0
pure_trail,0.0,0.0,0.05,0.05,4.23,3.74,100.0,0.91,7.81,80.45,0,19,0,0
tp1_trail,0.08,0.7,0.05,0.0,4.19,3.99,100.0,3.41,5.14,79.65,0,19,0,0
tp1_trail,0.05,0.7,0.1,0.0,4.18,4.01,100.0,1.75,9.54,79.36,0,19,0,0
tp1_only,0.08,1.0,0.0,0.0,4.0,4.0,100.0,4.0,4.0,76.0,0,0,19,0
tp1_trail,0.05,0.3,0.05,0.0,3.71,3.37,100.0,1.39,6.22,70.57,0,19,0,0
tp1_trail,0.05,0.5,0.05,0.0,3.37,3.12,100.0,1.71,5.16,63.98,0,19,0,0
tp1_trail,0.05,0.7,0.05,0.0,3.02,2.87,100.0,2.02,4.09,57.39,0,19,0,0
tp1_only,0.05,1.0,0.0,0.0,2.5,2.5,100.0,2.5,2.5,47.5,0,0,19,0
pure_trail,0.0,0.0,0.2,0.0,1.64,0.0,11.0,0.0,17.54,31.11,0,17,0,2
pure_trail,0.0,0.0,0.1,0.0,1.32,0.0,11.0,0.0,13.57,25.16,0,19,0,0
pure_trail,0.0,0.0,0.15,0.0,0.96,0.0,11.0,0.0,10.04,18.21,0,19,0,0
pure_trail,0.0,0.0,0.07,0.0,0.83,0.0,11.0,0.0,8.82,15.8,0,19,0,0
pure_trail,0.0,0.0,0.05,0.0,0.49,0.0,11.0,0.0,5.47,9.22,0,19,0,0
